tweet,compound,likely_party
@realDonaldTrump #TrumpLiedAmericansDied #Trump is a despicable human being#Trump is the worst President ever #Vote Blue Blue Blue #🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊,-0.8834,1
"If #JoeBiden doesn't win tonight,  America needs to do some serious soul searching.
#Election2020 
#BidenHarris2020ToSaveAmerica",-0.0444,0
Someone needs to find a way to force Trump to stop this nonsense.  People are going to die over it.  #trump,-0.8491,1
Call in from @king_leo_untamed at the “The Session” presented by the #USDH interrupted by #Trump &amp; kicked out by @miki_vrai #Foolsknow https://t.co/fP7p25k8Hc,-0.6597,1
"As a life-long #Philadelphian,watching cable cover #Biden's victories in Wisconsin,Michigan &amp; Arizona,I can't help wondering when the Pennsylvania counts will ever show up, &amp; where my Philly #mail-in vote wound up.We helped.Philadelphia #votes matter! https://t.co/qZ4V0DslAU",-0.3506,2
"#Trump starts to complain about Ilhan Omar. Someone shouts out ""kick her out!"" and he says ""no, don't say that, someone said that earlier and I got in trouble.""

That's not why you got in trouble.",-0.6696,1
#JoeBiden  killing it,-0.6597,2
"Zedd Twitter has been on fire!

#Election2020 #JoeBiden #BidenHarris2020 https://t.co/IJKvWdO4LW",-0.4003,2
"@cspanwj Listening to these callers it appears many believe #Trump Lies. 🤥 plus they blame the “media,” whenever they mention his mendacity.
Conclusion: Trumps lies work!!!
#TrumpLiesAmericansDie",-0.939,1
#Biden self described as Honest??!! #Plagiarism is not being honest #NealKinnock #1988,-0.5641,2
"..

At least #PRESIDENT #TRUMP doesn't end his day at 9AM because he's too weak and frail to continue!!!

!!! https://t.co/icgPTNRYYx",-0.6209,1
#Communism #Socialism #Racism anti-#America all in one video. | #Texas #txlege #Trump #KeepTexasRed https://t.co/ph8T7WjZ9R,-0.3818,1
"@DonaldJTrumpJr Dude, maybe they are just not that into you.  #TrumpCrimeFamily #trump",-0.5423,1
"@lunaticopresid1 @Mitchie02435305 No wonder they didn't have enough busses at the #OmahaTrumpRallyDisaster ....half went to the OTHER NEBRASKA! 

#TrumpIsMentallyDamaged
#TrumpMeltdown 
#TrumpHasCovidBRAIN its a thing!

#Trump is preparing for his #InsanityPlea",-0.9258,1
Nervous but I think #Trump has it. #ElectionDay https://t.co/ScgqmAmGDO,-0.1406,1
"Over Taxation with intentional &amp; deliberate Underrepresentation is tyranny even if we were not living under the erratic, corrupt, &amp; absurd rule of Mad King #Trump.

Republican Presidents keep getting worse, do you really want to find out what's worse than Trump in 4-8 years? https://t.co/K2ojIv1PoX",-0.8319,1
"Don’t despair. That evil bastard #trump will do anything to fight the will of the American people. We’re stronger than him. We’re Americans, we’ll figure it out. That’s what we do. Overcome and adapt. #VoteHimOut #VoteAgainstTrump

https://t.co/9MHtDC0FLT",-0.8807,1
@DrEricDing #TrumpIsACriminal #TrumpKnewAndDidNothing #TrumpKilledYourLovedOne #TrumpCrimeFamily #TrumpCrimeSyndicate #Trump #realDonaldTrump,-0.4423,1
"@stuartpstevens Fear is a great motivator. Trump exploited fear to his advantage in 2016. In 2020, Trump is on the receiving end of the fear factor. In oversimplified terms, this is why #Trump will lose this election.",-0.8481,1
"Trump Crime Family 

#TrumpCrimeFamily #SwingStates #florida #Ohio #TrumpTaxReturns #TrumpTaxes #TrumpIsBroke #Unemployment #CoronaVirus #WorstPresidentInHistory #FakePresident #ImpeachedTrump #DonaldTrump #ViralVideos #DonTheCon #Scammer #ConArtist #Hypocrite #MrBlackCat1069 https://t.co/oBUEg9pq1T",-0.9738,1
"@latimes Agree, #Trump IS THE PROBLEM!",-0.3016,1
"@MarkMeadows Monumental embarrassment for your administration, maybe. The #Trump team has been panicking over this since 2018, going so far as to call it ""treason!"" Downplaying the embarrassment for you guys a little bit, don't you think? #Anonymous #milestaylor",-0.8398,1
"50 Worst Trump Atrocities https://t.co/ujGpMUyzLQ The nonstop flow of ""OMG, did U hear what happened today?!"" news of the #tRump administration has been exhausting! Show your #MAGA friends &amp; family what their beloved king has ACTUALLY done 2 our country, this planet &amp; its people!",-0.2677,1
"#Trump's future:
1) The world finally sees his tax returns.
2) Jailed for his Crimes and put in a cage like those kids.
3) Fails to pay back his loans and have his hotels repossessed.
5) The Trump name is sullied and fades into obscurity.

#LockHimUp",-0.5994,1
"Not only does she hate Christmas trees, I think she hates him like most of America #Trump #FLOTUS https://t.co/r23WhzjKVv",-0.6249,1
"As you can see, #JoeBiden  is in deep trouble, even without the whole #HunterBiden  thing. https://t.co/V7ZFShmcmd",-0.4019,2
@kirstiealley CNN Theme is Death By Any Means Necessary💀💀💀 at least until the Election is Over. Then when #Trump win. Then they will find Something else they got to keep their Cultbon fear. #FridayThoughts,-0.5106,1
@twitter with all the fake news being  spouted by @realDonaldTrump which fact checking has shown to be false. It must be time to take away his trusted status / remove his account just like you did with #KatieHopkins #Trump is far worse than her!!,-0.2924,1
"This man is an embarrassment for our country, it will take a very long time to re-establish our reputation in the world. #USA and #Trump #embarrassing https://t.co/3FW3L1L06Q",-0.6705,1
"#trump doesn't care about you, even if you're a #maga follower. 
#VoteAgainstTrump 
#VoteHimOut2020 https://t.co/TENR05GdJ5",-0.3875,1
"It’s been reliably reported that 60% of the donations #Trump is soliciting to ""#FightVoterFraud“ are actually going to pay his campaign debts.

So it’s really just another #TrumpScam",-0.7717,1
#TrumpMeltdown #TrumpIsALaughingStock #TrumpIsLosing #Trump https://t.co/sKoAaamM6J,-0.3818,1
"@SWAtlasHoover With respect Dr. Atlas, your assertion is false. The overwhelming majority of scientist, physician agree on the importance of lock-downs, masks to prevent viral spread. Your lack of infectious disease expertise is showing. &gt;218K dead of COVID-19, &gt;8.1M infected on #Trump's watch.",-0.3818,1
"Who wants to do voted for President Donald Trump again. These people can buy this t-shirt

Link: https://t.co/Umr33Qetrv

#MondayMotivation #MondayMorning #AtTheSkyOf553WeFoundTXT #mondaythoughts #TrumpIsLosing #MondayMood #proudofliam #VictoryMonday #TrumpCollapse #Trump https://t.co/gRigRaB0ot",-0.0772,1
Imagine how ridiculous #DonaldTrump would look with rain pouring on his head. 😂,-0.3612,1
"@meiselasb chants on his front lawn
telling him he sucks and such
getting just desserts

#haiku 
#trump",-0.3612,1
"#twitterpoll 

Will #Trump say or Tweet something (else) to incite nationwide violence before the next 24-hours is past?",-0.6249,1
"@SharnelleVella @7NewsMelbourne In times like this, we need ONE person to lead, not 20 people giving their own opinions. It only creates confusion. Especially, you should stop your ministers to go on media and stir the pot. If you need to speak to the premier, call him, not the news channels! Don't B #Trump!!!",-0.5053,1
"@DavidJollyFL @ChattyCarnation @PeterEgan6 @TheAgentMaddi #JoeBiden is also now leading in #Arizona, #Nevada, #Georgia ... !!  Potentially on verge of a #HistoricMoment = 5th time in America's history of defeat of an incumbent one-term president. 🤞
#CountEveryVote !!",-0.6331,2
"And say what exactly? They believe #Trump, who gleefully tortures children, nukes hurricanes &amp; cannot read “Yosemite,” is fit to lead. They believe #Hillary ran a child sex trafficking ring from a pizza parlor. We’re not dealing w/ people you can talk to. Sorry. America is done. https://t.co/pEkFcesbBc",-0.3182,1
Joe is lying through teeth. Saying it louder doesn't make it true. #JoeBidenIsCorrupt #JoeBiden,-0.6939,2
"The #Trump-bots are so disturbing when they contradict themselves in the same sentence. The #FoxNews hosts always butcher the questions: ""So if they voted on Nov. 3rd with a postmark, it won't count? No, we want to count the votes received on that day. So postmarks don't matter?""",-0.6612,1
"@NBC #tRumpTownHall who the woman in the #RedMask over Trump’s shoulder was and what her whole deal is #TrumpTownHall.
She was very annoying just like the #PenceFly #DebateNight @cspanwj #Trump #TownHall #MAGA #KAG #Miami https://t.co/m41Wnipls8",-0.0591,1
"If @JoeBiden takes five days to prepare for this...his presidency is going to be a mess. 
#Biden #Minnesota #Fargo #Duluth #NewHampshire #Concord #Portsmouth #Maine #Bangor #Dover #Election2020 https://t.co/VuDawBB47S",-0.3612,2
@baumerSTL #DarkWinter if we continue in this cycle of denial any lying by #DonaldTrump,-0.5267,1
"Just happened to be all the swing states couldn’t count votes on time! 

#Democrats  know #biden lost.  

He couldn’t get 20 people to a rally! 

#steal #cheat won’t stand",-0.8436,2
"The #Trump administration works overtime to find new ways to be evil. This is ridiculous.

#VoteHimOut 

https://t.co/rTDYfxZAAi",-0.7845,1
"@RealRLimbaugh @JesseBWatters #CoronaVirus fatigue is nothing compared 2 #Trump #MAGA's Bullshit.@realDonaldTrump telling TrashRush @RealRLimbaugh he's cured.#Trump2020 threatens 2 Kiss Men.#Americans go to jail for a lot less erratic,delusional,psychotic episodes.
Spreading COVID is a CRIME AGAINST HUMANITY! https://t.co/By8wo4eRTU",-0.745,1
"You know, there are #Republican voters who are *really* frustrated w #Trump's politicalization of #COVID19 &amp; lack of national response &amp; it is likely to cost him their vote. 

He's in #WI &amp; won't meet them bc they #StayHome,  #WearAMask, &amp; care for multigen family in their homes.",-0.3612,1
"As a woman, how can you support #Trump who is a #womanizer, doesn't respect any human being but himself, doesn't respect  #science and #climatechange, and 220.000 + people died from #coronavirus due to his #negligence !!!! #TrumpIsTheWORSTPresidentEVER https://t.co/626kEKJXqB",-0.9588,1
"How is there more votes more than actual REGISTERED voters in #Wisconsin ? 🧐 Anybody send the FBI yet? 

https://t.co/6byzPP4Af3

#BreakingNews #VoterFraud #Fraud #LiarsAndCheats  #Corruption #JoeBiden #America #USA #Elections2020 #elections #ballotgate #Truth #postelection",-0.9163,2
#Arizona #Trump2020 #Trump #election #ballots #fraud https://t.co/foo9pX7s0d,-0.5859,1
"@SkyNews Stolen? Damage control for your preferred choice of President is why you've become a joke and no one takes you seriously. Fluff piece spewing factory 
#Biden #Election2020 #FakeNews https://t.co/40HPNpdbeL",-0.8807,2
"Then he invites a guest on who claims a coup against #DonaldTrump is happening
#CountEveryVote 
#FireTucker",-0.34,1
“It’s the danger of both firing [someone like Dr. Anthony] #Fauci and replacing him with Eric #Trump’s wedding planner permanently.” Or a guy who thinks the government’s strategy to combat the #pandemic should be to let 2 million #Americans get it and die. https://t.co/iYkByCHIb6,-0.8625,1
Who did this? #Trump did. 525 kids have lost their parents. Shame on you Trump. https://t.co/MdWUww4P4d,-0.6597,1
"No #Debates2020 #Debate2020 #DebateTonight for this #LGBTQ #SanFrancisco voter.

I'm over the #TrumpMeltdown #trump shit show.

#PresidentialDebate2020 #VoteEarly #Vote2020 #VoteHimOut https://t.co/tY06kVZQ8T",-0.7003,1
"@DrTedros Dr #Atlas is the expert in herd immunity; @realDonaldTrump is the expert in herd immunity; @GOP is expert in herd mentality: #Trump says ""jump off the cliff"" and everyone does!
 
#AtlasTheFool",-0.4926,1
"Virtually all of the mail-in early ballots are for #JoeBiden, 100% for #RapistJoeBiden!  Is that even possible?

This #DemocraticVoterFraud via #VotingBallotDumps is so outrageous it may well incite a civil war.

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🦅🦅🦅🦅🦅🦃🦃🦃🦃🦃
🦬🦬🦬🦬🦬🌲🌲🌲🌲🌲🐿️🐿️🐿️🐿️🐿️",-0.9571,2
What People With #Stutters See When We Watch #JoeBiden https://t.co/QMv89qEEpT,-0.25,2
Keep spreading it! Keep killing! Keep brainwashing! #TrumpIsNotWell #Trump #TrumpRally https://t.co/GC1zDtDMq8,-0.8621,1
Anyone else scared of @realDonaldTrump as a lame duck? He’s gonna burn everything down. #trump #vote,-0.6908,1
"🐑🐑🐑🗣Well Cult leader's can do anything, ( #Trump )and Dumb Americans will Follow🐑🐑🐑🐑they sheep https://t.co/CjBN8t2Vvu",-0.5106,1
"Why is #Obama campaigning for weak #Biden?  Well, he has a new book to sell. Like #Hillary's latest book, it could become another door stop!
LIVE: Former President Obama campaigns for Biden in Orlando https://t.co/1ceTtR9kVn",-0.2003,2
@JimCarrey #Biden is a failure. https://t.co/NJHxiCwBSw,-0.5106,2
"@realDonaldTrump @BreitbartNews You, @realDonaldTrump, a US president, said it.
Millions heard it not knowing what it meant.
Or knew what it meant &amp; didn't care.
As a black man in America, I care.
Every person of color should care.
Care &amp; read &amp; retweet.
#Trump #RacehorseTheory #eugenics
https://t.co/NILvel318o",-0.5696,1
"#DonaldTrump   #RacistTrump   #RacistInChief 
@realDonaldTrump https://t.co/apFDd32wze",-0.8402,1
"Very damning. #HuntersLapTop #JoeBiden Even if elected, he won't survive scrutiny until inauguration. https://t.co/i7WHDqPfRq",-0.4005,2
"#JoeBidenUkraineScandal 
#CrookedJoeBiden #CrookedBidens #JoeBiden #NOJOE #WheresHunter #CantStopWhatsComing #VoteRedToSaveAmerica2020 #BidenCrimeFamily #BidenHarris2020Mudslide https://t.co/zUE5dSrcbg",-0.6422,2
Maybe #Trump supporters have windmill cancer it causes them to believe lies. https://t.co/QlT8vepkVa,-0.6486,1
"The same people that argue against the border wall, are the same people that think this is what #Trump was referring to 🤦‍♀️ https://t.co/CVfBlthDy6",-0.34,1
"If you’re anti-racist only when it fits your agenda, you’re actually a racist. #DNC #JoeBiden",-0.6124,2
Let’s reflect for a moment on how bad things need to be for  @nypost to come out against #Trump https://t.co/bVcFR40IhC,-0.5423,1
"With #Trump you’re on your own. If you’re a child, an elderly person, you’re on your own. #TrumpDeathToll236K https://t.co/5J8rDvWtal https://t.co/iezE2dLaqw",-0.5994,1
"I am willing to guess #trump is fuming 💥

https://t.co/D1b3fJinj7",-0.5719,1
"""The Public has a right to know"" this about #Biden 

#BidenCorruption 
#HunterBidenEmails 

""THE REAL SCANDAL: U.S. MEDIA USES FALSEHOODS TO DEFEND JOE BIDEN FROM HUNTER’S EMAILS""

https://t.co/TkCEC812rB https://t.co/3HYedInLPn",-0.5622,2
"#NeverForget #NeverForgive 
Over 220,000 victims of #Covid19 #DeadlyPandemic 

Many of these victims died because the #AmericanPeople were LIED to by #DonaldTrump.  #HEKnewAndHeDidNothing 
The @GOP made dumping their stock portfolios a priority.
#Trump GOLFED, RALLIED, and LIED. https://t.co/vAUFarqtuw",-0.9312,1
#donaldtrump we're tired of listening to you. You and your fellow liars are the ones who have gotten things on covid-19 wrong. We want to hear more from Dr. Fauci. Not you Trump. You admitted to Bob Woodward that you lied about covid-19. DONALD TRUMP YOU ARE NOT TO BE TRUSTED.,-0.9245,1
