tweet,compound,likely_party
"@funder No matter what the survey polls say, #VOTE for #JoeBiden #BidenHarris &amp; down-ballot Democratic as if your life depends on it because it just might! The life you save just might be your own.",0.3382,1
#Trump has defaced the #DepartmentofJustice. https://t.co/gpJRmpM3KO,0.5267,2
"Please mask. Help get Covid under control. #Vote #Biden 

All I wanna do is have some fun
I got a feeling I'm not the only one
All I wanna do is have some fun
I got a feeling I'm not the only one
All I wanna do is have some fun
Until the sun comes up over Santa Monica Boulevard",0.9423,1
"#CNN &amp; #DefundNPR busy 24/7 talking to their devotees
about Pexiglass &amp; Covid cases even thou 99.97% survive the disease
330Mil in USA &amp; only 222K deaths most over 75 yrs old

Leslie Stahl Hallie Jackson &amp; 60 Minutes BLOCKING/HIDING TRUTH
Re #Biden &amp; #BidenEmails

#ThursdayVibes",0.5473,1
"It appears the entire #Trump family is attending this historic campaign #rally in #GrandRapids, #Michigan, where it will soon be November 3, 2020 on #ElectionDay2020 when #President Trump will take the podium. https://t.co/cK5XAZezFS",0.4588,2
Interesting thread: 👇🏼👇🏼👇🏼 #Biden https://t.co/GVppVuNA87,0.4019,1
"#Detroit saved #America🙌🏽🇺🇸

#Election2020  #Michigan #TheMotorCity #JoeBiden",0.4215,1
Trump: they are like a vacuum cleaner  lol lol!!! #Trump,0.865,2
#trump2020 #wewillnotbehad #fakenews #trump #redwave #america https://t.co/fkwSMgljXv,0.3724,2
"Oh cool. America voted a new #President2020 who wants to bring back bombing into #Serbia. #Biden wants to resurrect policies from the 1990’s that resulted in poverty, ethnic cleansing, and war in the Balkan region. Awesome. Nice. Good job, democracy. https://t.co/UIaG6GZJcy",0.5994,1
I lost it when Vice-President Elect Kamala Harris walked out strong as the first woman ever to do so!! Redemption and Justice does exist in America! 🇺🇸🇺🇸🇺🇸 #KamalaHarris #JoeBiden #46,0.7608,1
"spotted in Coeur d'Alene, Idaho

#trump supporters holding a truck parade down Sherman Ave

#CDA #vote #election #Election2020 https://t.co/rz0P9rGNSZ",0.4404,2
@MrAndyNgo @dianalward @SeattleCentral Yay! #antifa declares #trump the winner!,0.7568,2
"Honest Joe

https://t.co/wjctZiFlfx

#biden #usa #election2020 https://t.co/BDfNRF6eTp",0.5106,1
"I'm really happy today after cast my vote for the future of USA, God Bless America #Trump2020 #MAGA2020 #MakeAmericaGreatAgain #DonaldTrump #USA #GodBlessAmerica https://t.co/DGyoUNn2VW",0.9509,2
#Trump only appoints the best judges money can buy.🤨,0.6369,2
"@ajvsell Is he better than a dumpster fire? Yes.

Vote #biden.",0.3818,1
@atrupar @GoAngelo @ParkerMolloy I love my opposite thinking family and friends &amp; we try not to talk #politics how they can believe they are better off with #trump is unimaginable - I am concerned about being told to buy ammo - WTH do these people think is going to happen,0.7242,2
"They believe, as #Trump believes this was ""rigged"". As #USElectionResults2020 are cause for celebrating to most, it's a call to arms for others. If you're out tonight in larger blue cities be super careful and aware. Stay safe, be happy, be vigilant, record/report everything.",0.9477,2
Don't believe the polls — #Trump is winning #TheHill https://t.co/tBEsbDnqu9,0.5267,2
"@JacobShrub @brianstelter Thanks 4 #TheTruth! #FakeNewsMedia says Trump walks out of #60MinutesInterview. LIES!!  Staff interupts #Trump at 37 minutes 2 warn interview ending 5 mins. #Trump says CALMLY, ""I think we have enough now, there is enough."" And calmly stands to leave. https://t.co/mjpqvqRogI",0.4898,2
"@CW2PointO Well, she does laugh inappropriately so her IQ is obviously challenged...
Mix that with #Biden disaster!
#KamalaHarris is unfit
#JoeBiden is unfit
#JoeandKamala are unfit
 https://t.co/Xwz3n2qs3A",0.2244,1
@GovWhitmer here's what I see: #Biden 2020to 2024. #Harris 2024to 2032. #GretchenWhitmer 2032 to 2040. Sounds good to me.,0.4404,1
@ClueHeywood hah...and the caravan finally turned around.  remember the caravan that disappeared 4 years ago on election day?  i guess covid ended this week too!  Thanks #Trump for hilarious conspiracies.  i wish he was right about covid going away though.,0.7712,2
#DemCast #DemCastTX #wtp #wtpSenate #wtpBiden #BLM #JoeBiden #JoeBidenKamalaHarris2020 #NancyPelosi https://t.co/1e0Cola4rl,0.8056,1
"""I wanna say something we don't say often enough. President #Obama was a great president,"" #Biden said on #BelleIsle. ""Thank you for reminding us what we can be again."" https://t.co/C3luN7dzZY",0.765,1
"The more people attend those rallies, the more cases &amp; deaths of #COVID19 in #America. For that logical reason alone, #Trump should not be chosen to lead us as #POTUS in 2020!

#VoteBlueToEndThisNightmare 
#VoteBlueDownBallot 
#VoteBlueToSaveAmerica https://t.co/olcpPIukd8",0.3595,2
"@KevinCate @JoeBiden Hoping with every ounce of my being that you're right.
#Biden",0.4215,1
"Whether first or last, #biden is a vote for confidence in #competentgovernance. So you see - you were being sensible! https://t.co/eXo8CA4Pqc",0.7088,1
If we need to know the true ethics of Obama #Biden we need look no further than this. No matter what nice  words are said on top in debates they are an extension of CCP One China 2025 plan. This is my feminine intuition speaking to warn my Country tis of thee as a voice for Our🗽 https://t.co/rGhnzi88pY,0.34,1
Lookin’ good for Biden!  🤞🏼 #Biden https://t.co/coZzN4YZ4D,0.4926,1
"@askjillian Wondering if #JoeBiden will be able to hold up for the next 4 years starting with his #impeachment on day 1, that is of course if he wins after the #SupremeCourt hears the shit that’s gone on. Don’t think he has it in him! Gonna be fun",0.9422,1
Fantastic #Biden ad! #Vote https://t.co/DRw076lc9t,0.5983,1
"#Twitter feed full of #Narcissistic, Attention-wanting Brats &amp; #Celebrities (poor #Rudy is an exception). ALL abt them and NOT abt Country.

Of course, RIGHT when the Trump Momentum is doing GREAT. #MAGA #Trump #USA 🇺🇸 https://t.co/6fM5dtYF5e",0.7034,2
@MSNBC Will be listening #JoeBiden is exactly who we need right now to help us recognize we live cin the USA together &amp; have more in common than not . Anyone who thinks the election is rigged knows nothing about how they are run. Easy to find out. Just contact your Board of Elections,0.4767,1
"@realDonaldTrump 
Is there a schedule yet for your Victory Tour?  Just can’t get enough rally’s and the #Trump dance! The best is yet to come!",0.6988,2
"😠 2020 HOLIDAYS UNDER #TRUMP PRESIDENCY ...

#VoteHimOut #Election2020 https://t.co/bVk691mB5U",0.516,2
"""Completely incoherent"" is a prominent theme in the Trump world. 

#ACB #Trump #SCOTUS

https://t.co/lqHZVvcD6S",0.3744,2
Ok Let's Do It AMERICA! #election #election2020 #VOTE #voteblue #BidenHarris2020 #joebiden #kamalaharris #bluewave #votethemout #america https://t.co/mq4dy2A6Ya,0.3595,1
@taylorwane69 This was last year when I lived near DC &amp; attended the 4th of July celebration with President Trump honoring the military.The celebration w/like minded patriots can be repeated by electing #Trump Nov 3. I have faith this will happen.Thanks for all your support!!🙏🙏🙏🙏🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/n7A9EVpi9k,0.7707,2
I am incredibly impressed with #JoeBiden’s comments and authenticity as he answers some very difficult questions.,0.1531,1
Why 780 retired generals and former national security leaders spoke out against #Trump https://t.co/aJTqYiMCHq via @YahooNews,0.34,2
@CathleenTrigg I'm waiting until November 3rd to experience the in-person voting satisfaction of sliding my ballot and vote for #Biden &amp; #Harris.,0.4404,1
Our wonderful President! Vote vote vote - we need everyone. We are the working party not the lazy party #VoteRed #Trump https://t.co/CPLo0EeMeM,0.8886,2
"This sounds very, very sketchy. I know d.t's people will be screaming about it &amp; so I must know about it but, this A. sounds very creative &amp; B. if any component is based in reality it is Not #JoeBiden it would be his son. #VoteBidenHarris2020  https://t.co/ASwoOITyhp",0.5407,1
"@LBC Drain the trump family SEWER 💩💩💩💩💩💩💩💩💩🤮🤮🤮🤮🤮🤮🤮🤮#ClumpForTrump💀💀💀💀💀💀’#trumpVirus R us’💀💀💀👿

“#MALIGNANTnarcissist” #BIGLY Ha ha ha ha 🥴”#LOSER”🥳. #BelieveMe

         💩#trump👿🤮",0.9175,2
"Nonpartisan @DMRegister wrote stunning #ThrowTheBumsOut editorial endorsing @GreenfieldIowa for Senate, plus all 4 #IaDem Congressional candidates: #Finkenauer #Ia01, #Hart #Ia02, #Axne #Ia03 &amp; #Scholten #Ia04. What got their goat? Political surrender to #Trump! #Iapolitics",0.4389,2
"@realDonaldTrump Many #Republicans have begun wondering aloud whether it might be possible after the #election to rebrand the party.The #Trump message has apparently backfired and some officials are toying with ideas like 'honesty,' 'dignity,' 'tolerance,' and even 'harmony'. #AfterTrump",0.3612,2
"#TRUMP........MY FINEST MEME....EXPLAINS THE PSYCHOPATHIC SOCIOPATH TRUMP.......""MAY GOD HAVE MERCY ON HIS SOUL""! https://t.co/T0hcykWnVG",0.7475,2
"@PerfecWorldPics Super spreader rallies and #Trump saying #COVID19 would be over Nov 4th. They believed him and not the docs. It’s Nov 7, why is the virus 🦠 still here?",0.5994,2
"🇺🇸 Who are your top U.S. Presidents? 845K votes rank  #AbrahamLincoln as #1 while #DonaldTrump is #28 and falling fast. 
#VOTE your fave #POTUS now!  
https://t.co/mtsmt8JkVk",0.5255,2
Who else is just ready for Biden to win #Biden #BidenHarris2020 #KamalaHarris,0.743,1
Rappers for #DonaldTrump #50CENT #LilWayne #LilPump #KanyeWest #IceCube Beautiful minds think alike! https://t.co/jPwN00eDeT,0.636,2
The Press has refused to cover how #Biden was compromised by the Communist Party of China ... https://t.co/WgiVdudTwy,0.128,1
"""I want Donald #Trump’s taxes, his medical records, #Ivanka’s and #JaredKushner’s security clearance documents, plus the translator’s notes from #Helsinki""

All I want is @realDonaldTrump in the #NewYork State Department of Corrections! #TrumpTerroism https://t.co/61zTigooCE",0.5093,2
#Trump is #AmericasGreatestMistake https://t.co/DYSLT34ayq,0.4215,2
"We have one shot. One opportunity. One moment. Don't miss the chance -- Vote.
~Eminem 
#Biden
#ShowUpAndVote
#VoteBidenHarrisToSaveAmerica
https://t.co/ARfUwYkOa2",0.6912,1
Cc @BoKnowsNews ... #Biden was being kind. https://t.co/KB5RAdYhMl,0.5267,1
@mcsoaz Go get those #trump looters at the election office like they did our protests for justice! #BlackLivesMatter  #PostElection2020,0.6588,2
"This is how #Trump views women and his wife....

Like an interchangeable commodity. https://t.co/vL3eAG2NlY",0.3612,2
"A clear path to corruption.  How can this man be trusted?  Why is the MSM protecting him?  Why is #BigTech censoring this?

#Biden 

https://t.co/1Zm5r8ZLTr",0.7383,1
Thank you Baby Jesus.... Bring it home Joe and Kamala!!! #BIDEN HAS WON https://t.co/TRl8LsZiCP,0.832,1
"@romyreiner Well, I guess they can use all of the disinfectants that #Trump's followers hoarded to cure #COVID! 💡🤣",0.3382,2
